#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks
1202.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,56.2,58.5,0,56,0,56.2,56.2,0,56.1,0
1210.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,32.8,35,0,32.85,0,0,33.15,0,33.1,0
1211.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,45.15,45.55,0,45.55,0,45.35,45.6,0,45.6,0
1212.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,45.9,45.9,0,44.6,0,45.9,46,0,45,0
1213.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,16.36,16.36,0,16.28,0,0,16.44,0,16.3,0
1214.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,16.22,16.3,0,16.22,0,16.24,16.24,0,16.24,0
1301.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,27.35,29.1,27.35,27.35,0,27.2,27.45,0,27.45,0
1302.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,32,32.9,0,31.95,0,32,32.15,0,32,0
1303.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,21.7,21.7,21.68,21.7,0,21.7,21.88,0,21.88,0
1304.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,30.25,0,30.15,0,30.25,30.3,30.25,30.3,0
1320.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,19.1,19.1,19.02,19.02,0,19.18,19.2,0,19.18,0
1810.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,15.04,15.06,0,15.06,0,15.06,15.1,0,15.1,0
1820.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,10.16,10.66,10.16,10.18,0,10.18,10.26,0,10.26,0
1830.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,88,88.8,0,88.8,0,88.4,89,0,89,0
1831.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,57.6,0,57.6,0,57.6,57.8,0,57.8,0
1832.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,38.25,38.3,0,38.3,0,38.45,38.9,0,38.5,0
2001.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,30.1,31.55,0,30.1,0,30.15,30.15,0,30.15,0
2010.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,94.6,0,94.6,0,94.3,94.7,0,94.7,0
2020.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,125.4,125.4,0,125,0,125.6,125.6,0,125.6,0
2030.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,85,85.1,0,85,0,85.3,85.3,0,85.3,0
2040.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,36.7,36.7,0,34.9,0,35.1,35.1,0,35,0
2050.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,32.35,0,32.35,0,32.3,32.5,0,32.5,0
2060.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,0,14.32,0,14.3,0,14.36,14.36,0,14.32,0
2070.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,25.75,26.95,0,25.75,0,0,26.05,0,26,0
2080.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,39.95,39.95,0,39.8,0,39.95,39.95,0,39.9,0
2081.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,111,111.2,111,111,0,111,111.6,0,111.6,0
2090.SE,,Market Price,2022-07-14T20:00:00.000000000Z,+3,Intraday 1Hour,,,,,,,25.3,25.55,0,25.55,0,25.4,25.6,0,25.6,0
